,trade_dt_x,wind_code,CITICS_IND_CODE
10,2019-01-31,000002.SZ,b10n010100
11,2019-02-28,000002.SZ,b10n010100
13,2019-04-30,000002.SZ,b10n010100
15,2019-06-28,000002.SZ,b10n010100
16,2019-07-31,000002.SZ,b10n010100
18,2019-09-30,000002.SZ,b10n010100
19,2019-10-31,000002.SZ,b10n010100
23,2019-05-31,000004.SZ,b10i010200
24,2019-06-28,000004.SZ,b10i010200
25,2019-07-31,000004.SZ,b10i010200
26,2019-08-30,000004.SZ,b10i010200
27,2019-09-30,000004.SZ,b10i010200
49,2019-01-31,000007.SZ,b10n020100
50,2019-02-28,000007.SZ,b10n020100
51,2019-03-29,000007.SZ,b10n020100
52,2019-04-30,000007.SZ,b10n020100
57,2019-09-30,000007.SZ,b10n020100
72,2019-04-30,000009.SZ,b10t010100
85,2019-09-30,000010.SZ,b107010100
143,2019-09-30,000018.SZ,b107020100
144,2019-10-31,000018.SZ,b107020100
158,2019-04-30,000020.SZ,b10p030100
166,2019-02-28,000021.SZ,b10p020100
178,2019-04-30,000023.SZ,b108010100
261,2019-08-30,000032.SZ,b10q020300
263,2019-10-31,000032.SZ,b10q020300
284,2019-01-31,000036.SZ,b10n010100
285,2019-02-28,000036.SZ,b10n010100
289,2019-06-28,000036.SZ,b10n010100
299,2019-07-31,000037.SZ,b104010100
309,2019-07-31,000038.SZ,b10s010500
355,2019-04-30,000048.SZ,b10k020100
359,2019-08-30,000048.SZ,b10k020100
363,2019-02-28,000049.SZ,b10p030100
432,2019-02-28,000061.SZ,b10k010300
442,2019-02-28,000062.SZ,b10n010200
443,2019-03-29,000062.SZ,b10n010200
489,2019-01-31,000069.SZ,b10n010200
491,2019-03-29,000069.SZ,b10n010200
622,2019-05-31,000156.SZ,b10s010200
649,2019-02-28,000159.SZ,b101020400
680,2019-03-29,000333.SZ,b10g010100
707,2019-10-31,000400.SZ,b10b020200
711,2019-04-30,000401.SZ,b108010100
714,2019-07-31,000401.SZ,b108010100
715,2019-08-30,000401.SZ,b108010100
716,2019-09-30,000401.SZ,b108010100
719,2019-02-28,000402.SZ,b10n010200
735,2019-08-30,000403.SZ,b10i030100
