,trade_dt_x,wind_code,CITICS_IND_CODE
48,2019-01-31,000001.SZ,b10l020100
49,2019-02-28,000001.SZ,b10l020100
50,2019-03-29,000001.SZ,b10l020100
51,2019-04-30,000001.SZ,b10l020100
52,2019-05-31,000001.SZ,b10l020100
53,2019-06-28,000001.SZ,b10l020100
54,2019-07-31,000001.SZ,b10l020100
55,2019-08-30,000001.SZ,b10l020100
56,2019-09-30,000001.SZ,b10l020100
57,2019-10-31,000001.SZ,b10l020100
105,2019-01-31,000002.SZ,b10n010100
106,2019-02-28,000002.SZ,b10n010100
107,2019-03-29,000002.SZ,b10n010100
108,2019-04-30,000002.SZ,b10n010100
109,2019-05-31,000002.SZ,b10n010100
110,2019-06-28,000002.SZ,b10n010100
111,2019-07-31,000002.SZ,b10n010100
112,2019-08-30,000002.SZ,b10n010100
113,2019-09-30,000002.SZ,b10n010100
114,2019-10-31,000002.SZ,b10n010100
162,2019-01-31,000004.SZ,b10i010200
163,2019-02-28,000004.SZ,b10i010200
164,2019-03-29,000004.SZ,b10i010200
165,2019-05-31,000004.SZ,b10i010200
166,2019-06-28,000004.SZ,b10i010200
167,2019-07-31,000004.SZ,b10i010200
168,2019-08-30,000004.SZ,b10i010200
169,2019-09-30,000004.SZ,b10i010200
170,2019-10-31,000004.SZ,b10i010200
217,2019-01-31,000005.SZ,b104020100
218,2019-02-28,000005.SZ,b104020100
219,2019-03-29,000005.SZ,b104020100
220,2019-04-30,000005.SZ,b104020100
221,2019-05-31,000005.SZ,b104020100
222,2019-06-28,000005.SZ,b104020100
223,2019-07-31,000005.SZ,b104020100
224,2019-08-30,000005.SZ,b104020100
225,2019-09-30,000005.SZ,b104020100
226,2019-10-31,000005.SZ,b104020100
275,2019-01-31,000006.SZ,b10n010100
276,2019-02-28,000006.SZ,b10n010100
277,2019-03-29,000006.SZ,b10n010100
278,2019-04-30,000006.SZ,b10n010100
279,2019-05-31,000006.SZ,b10n010100
280,2019-06-28,000006.SZ,b10n010100
281,2019-07-31,000006.SZ,b10n010100
282,2019-08-30,000006.SZ,b10n010100
283,2019-09-30,000006.SZ,b10n010100
284,2019-10-31,000006.SZ,b10n010100
330,2019-01-31,000007.SZ,b10n020100
331,2019-02-28,000007.SZ,b10n020100
332,2019-03-29,000007.SZ,b10n020100
333,2019-04-30,000007.SZ,b10n020100
334,2019-05-31,000007.SZ,b10n020100
335,2019-06-28,000007.SZ,b10n020100
336,2019-07-31,000007.SZ,b10n020100
337,2019-08-30,000007.SZ,b10n020100
338,2019-09-30,000007.SZ,b10n020100
339,2019-10-31,000007.SZ,b10n020100
388,2019-01-31,000008.SZ,b10a040100
389,2019-02-28,000008.SZ,b10a040100
390,2019-03-29,000008.SZ,b10a040100
391,2019-04-30,000008.SZ,b10a040100
392,2019-05-31,000008.SZ,b10a040100
393,2019-06-28,000008.SZ,b10a040100
394,2019-07-31,000008.SZ,b10a040100
395,2019-08-30,000008.SZ,b10a040100
396,2019-09-30,000008.SZ,b10a040100
397,2019-10-31,000008.SZ,b10a040100
445,2019-01-31,000009.SZ,b10t010100
446,2019-02-28,000009.SZ,b10t010100
447,2019-03-29,000009.SZ,b10t010100
448,2019-04-30,000009.SZ,b10t010100
449,2019-05-31,000009.SZ,b10t010100
450,2019-06-28,000009.SZ,b10t010100
451,2019-07-31,000009.SZ,b10t010100
452,2019-08-30,000009.SZ,b10t010100
453,2019-09-30,000009.SZ,b10t010100
454,2019-10-31,000009.SZ,b10t010100
502,2019-01-31,000010.SZ,b107010100
