,Unnamed: 0,trade_dt_x,wind_code
3,149115,2019-01-31,000005.SZ
35,149147,2019-01-31,000045.SZ
38,149150,2019-01-31,000049.SZ
66,149178,2019-01-31,000158.SZ
78,149190,2019-01-31,000408.SZ
123,149235,2019-01-31,000531.SZ
124,149236,2019-01-31,000532.SZ
140,149252,2019-01-31,000551.SZ
149,149261,2019-01-31,000561.SZ
154,149266,2019-01-31,000567.SZ
174,149286,2019-01-31,000597.SZ
184,149296,2019-01-31,000609.SZ
197,149309,2019-01-31,000626.SZ
215,149327,2019-01-31,000657.SZ
238,149350,2019-01-31,000686.SZ
255,149367,2019-01-31,000710.SZ
257,149369,2019-01-31,000712.SZ
271,149383,2019-01-31,000728.SZ
284,149396,2019-01-31,000753.SZ
285,149397,2019-01-31,000755.SZ
286,149398,2019-01-31,000756.SZ
302,149414,2019-01-31,000783.SZ
311,149423,2019-01-31,000795.SZ
316,149428,2019-01-31,000800.SZ
386,149498,2019-01-31,000908.SZ
387,149499,2019-01-31,000909.SZ
396,149508,2019-01-31,000920.SZ
406,149518,2019-01-31,000931.SZ
422,149534,2019-01-31,000958.SZ
430,149542,2019-01-31,000967.SZ
445,149557,2019-01-31,000985.SZ
446,149558,2019-01-31,000987.SZ
447,149559,2019-01-31,000988.SZ
469,149581,2019-01-31,002009.SZ
496,149608,2019-01-31,002036.SZ
501,149613,2019-01-31,002041.SZ
506,149618,2019-01-31,002046.SZ
526,149638,2019-01-31,002066.SZ
527,149639,2019-01-31,002067.SZ
533,149645,2019-01-31,002074.SZ
564,149676,2019-01-31,002105.SZ
591,149703,2019-01-31,002132.SZ
593,149705,2019-01-31,002134.SZ
643,149755,2019-01-31,002184.SZ
649,149761,2019-01-31,002190.SZ
655,149767,2019-01-31,002196.SZ
656,149768,2019-01-31,002197.SZ
660,149772,2019-01-31,002201.SZ
668,149780,2019-01-31,002209.SZ
686,149798,2019-01-31,002227.SZ
691,149803,2019-01-31,002232.SZ
697,149809,2019-01-31,002238.SZ
712,149824,2019-01-31,002253.SZ
749,149861,2019-01-31,002291.SZ
770,149882,2019-01-31,002312.SZ
786,149898,2019-01-31,002328.SZ
800,149912,2019-01-31,002342.SZ
834,149946,2019-01-31,002376.SZ
867,149979,2019-01-31,002409.SZ
874,149986,2019-01-31,002416.SZ
886,149998,2019-01-31,002428.SZ
910,150022,2019-01-31,002452.SZ
911,150023,2019-01-31,002453.SZ
929,150041,2019-01-31,002471.SZ
942,150054,2019-01-31,002484.SZ
952,150064,2019-01-31,002494.SZ
969,150081,2019-01-31,002511.SZ
1006,150118,2019-01-31,002549.SZ
1019,150131,2019-01-31,002562.SZ
1047,150159,2019-01-31,002590.SZ
1056,150168,2019-01-31,002599.SZ
1066,150178,2019-01-31,002609.SZ
1071,150183,2019-01-31,002614.SZ
1072,150184,2019-01-31,002615.SZ
1091,150203,2019-01-31,002634.SZ
1093,150205,2019-01-31,002636.SZ
1097,150209,2019-01-31,002640.SZ
1108,150220,2019-01-31,002651.SZ
1148,150260,2019-01-31,002691.SZ
1191,150303,2019-01-31,002737.SZ
1197,150309,2019-01-31,002743.SZ
1200,150312,2019-01-31,002747.SZ
1202,150314,2019-01-31,002749.SZ
1222,150334,2019-01-31,002771.SZ
1234,150346,2019-01-31,002783.SZ
1235,150347,2019-01-31,002785.SZ
1237,150349,2019-01-31,002787.SZ
1261,150373,2019-01-31,002813.SZ
1264,150376,2019-01-31,002817.SZ
1271,150383,2019-01-31,002824.SZ
1288,150400,2019-01-31,002842.SZ
1289,150401,2019-01-31,002843.SZ
1302,150414,2019-01-31,002858.SZ
1314,150426,2019-01-31,002870.SZ
1325,150437,2019-01-31,002882.SZ
1332,150444,2019-01-31,002889.SZ
1333,150445,2019-01-31,002890.SZ
1342,150454,2019-01-31,002900.SZ
1390,150502,2019-01-31,300005.SZ
1404,150516,2019-01-31,300019.SZ
1420,150532,2019-01-31,300035.SZ
1425,150537,2019-01-31,300040.SZ
1428,150540,2019-01-31,300043.SZ
1433,150545,2019-01-31,300048.SZ
1436,150548,2019-01-31,300051.SZ
1446,150558,2019-01-31,300062.SZ
1448,150560,2019-01-31,300064.SZ
1465,150577,2019-01-31,300081.SZ
1469,150581,2019-01-31,300085.SZ
1483,150595,2019-01-31,300099.SZ
1510,150622,2019-01-31,300126.SZ
1555,150667,2019-01-31,300171.SZ
1572,150684,2019-01-31,300189.SZ
1584,150696,2019-01-31,300201.SZ
1585,150697,2019-01-31,300202.SZ
1593,150705,2019-01-31,300210.SZ
1598,150710,2019-01-31,300215.SZ
1603,150715,2019-01-31,300220.SZ
1617,150729,2019-01-31,300234.SZ
1652,150764,2019-01-31,300269.SZ
1653,150765,2019-01-31,300270.SZ
1659,150771,2019-01-31,300276.SZ
